// Compost colors for createframed. You may add your own colors, change existing ones, or remove colors that aren't needed.
andesite_alloy_window_pane, #9aa8a5
black_cardboard_window_pane, #33333a
black_stained_framed_glass_door, #3c3c43
black_stained_framed_glass_pane, #3d3d46
black_stained_tiled_glass_pane, #3d3d44
blue_cardboard_window_pane, #4d7add
blue_stained_framed_glass_door, #528df5
blue_stained_framed_glass_pane, #5491fc
blue_stained_tiled_glass_pane, #5490fa
brass_window_pane, #e1af7f
brown_cardboard_window_pane, #9b6b4e
brown_stained_framed_glass_door, #b67f5c
brown_stained_framed_glass_pane, #bc835f
brown_stained_tiled_glass_pane, #bb825e
cardboard_window_pane, #ffc88a
copper_window_pane, #fcaa8c
cyan_cardboard_window_pane, #26cdcd
cyan_stained_framed_glass_door, #2ce1e4
cyan_stained_framed_glass_pane, #2ce8ea
cyan_stained_tiled_glass_pane, #2ce7e8
gray_cardboard_window_pane, #525f66
gray_stained_framed_glass_door, #5f6f75
gray_stained_framed_glass_pane, #627278
gray_stained_tiled_glass_pane, #627078
green_cardboard_window_pane, #299d4d
green_stained_framed_glass_door, #2dae54
green_stained_framed_glass_pane, #2fb255
green_stained_tiled_glass_pane, #2fb154
horizontal_black_stained_framed_glass_pane, #3d3d44
horizontal_blue_stained_framed_glass_pane, #5490fa
horizontal_brown_stained_framed_glass_pane, #b9825e
horizontal_cyan_stained_framed_glass_pane, #2ce6e7
horizontal_gray_stained_framed_glass_pane, #617078
horizontal_green_stained_framed_glass_pane, #2fb154
horizontal_light_blue_stained_framed_glass_pane, #5cffff
horizontal_light_gray_stained_framed_glass_pane, #d3d3c6
horizontal_lime_stained_framed_glass_pane, #89ff40
horizontal_magenta_stained_framed_glass_pane, #ff8afc
horizontal_orange_stained_framed_glass_pane, #ffd24d
horizontal_pink_stained_framed_glass_pane, #ffebff
horizontal_purple_stained_framed_glass_pane, #de72ff
horizontal_red_stained_framed_glass_pane, #f14b50
horizontal_tinted_framed_glass_pane, #504452
horizontal_white_stained_framed_glass_pane, #ffffff
horizontal_yellow_stained_framed_glass_pane, #ffff58
light_blue_cardboard_window_pane, #54e7fc
light_blue_stained_framed_glass_door, #5bfbff
light_blue_stained_framed_glass_pane, #5cffff
light_blue_stained_tiled_glass_pane, #5cffff
light_gray_cardboard_window_pane, #b8b6ac
light_gray_stained_framed_glass_door, #d0d0c5
light_gray_stained_framed_glass_pane, #d4d4c8
light_gray_stained_tiled_glass_pane, #d3d3c8
lime_cardboard_window_pane, #76e839
lime_stained_framed_glass_door, #86fe40
lime_stained_framed_glass_pane, #8aff41
lime_stained_tiled_glass_pane, #89ff41
magenta_cardboard_window_pane, #ff7ce6
magenta_stained_framed_glass_door, #ff89f8
magenta_stained_framed_glass_pane, #ff8cfe
magenta_stained_tiled_glass_pane, #ff8afc
orange_cardboard_window_pane, #ffb648
orange_stained_framed_glass_door, #ffcd4d
orange_stained_framed_glass_pane, #ffd34d
orange_stained_tiled_glass_pane, #ffd24d
pink_cardboard_window_pane, #ffcfe6
pink_stained_framed_glass_door, #ffe7fc
pink_stained_framed_glass_pane, #ffeeff
pink_stained_tiled_glass_pane, #ffebff
purple_cardboard_window_pane, #c962ed
purple_stained_framed_glass_door, #dc70ff
purple_stained_framed_glass_pane, #e073ff
purple_stained_tiled_glass_pane, #de72ff
red_cardboard_window_pane, #d74148
red_stained_framed_glass_door, #ee4a50
red_stained_framed_glass_pane, #f44d50
red_stained_tiled_glass_pane, #f24b50
rose_quartz_window_pane, #ffc9cf
tinted_framed_glass_door, #524755
tinted_framed_glass_pane, #4b414d
tinted_tiled_glass_pane, #4e4651
vertical_black_stained_framed_glass_pane, #3c3c43
vertical_blue_stained_framed_glass_pane, #528ef7
vertical_brown_stained_framed_glass_pane, #b8805e
vertical_cyan_stained_framed_glass_pane, #2ce4e6
vertical_gray_stained_framed_glass_pane, #616f76
vertical_green_stained_framed_glass_pane, #2dae54
vertical_light_blue_stained_framed_glass_pane, #5cfcff
vertical_light_gray_stained_framed_glass_pane, #d2d2c5
vertical_lime_stained_framed_glass_pane, #87ff40
vertical_magenta_stained_framed_glass_pane, #ff89fa
vertical_orange_stained_framed_glass_pane, #ffcf4d
vertical_pink_stained_framed_glass_pane, #ffe8fe
vertical_purple_stained_framed_glass_pane, #dd70ff
vertical_red_stained_framed_glass_pane, #f04b50
vertical_tinted_framed_glass_pane, #4e4451
vertical_white_stained_framed_glass_pane, #ffffff
vertical_yellow_stained_framed_glass_pane, #ffff57
white_cardboard_window_pane, #ffffff
white_stained_framed_glass_door, #ffffff
white_stained_framed_glass_pane, #ffffff
white_stained_tiled_glass_pane, #ffffff
yellow_cardboard_window_pane, #ffe34e
yellow_stained_framed_glass_door, #ffff57
yellow_stained_framed_glass_pane, #ffff58
yellow_stained_tiled_glass_pane, #ffff58
zinc_window_pane, #aebeab
