// Compost colors for fathomless. You may add your own colors, change existing ones, or remove colors that aren't needed.
aethway, #fcc53d
alternating_flame, #ba8eb
archbishop_icon, #3a181c
aspect_seeker, #d0372d
aspect_seeker_blade_component, #cf1f30
basalt_bone, #202020
basalt_claw, #460411
chrysalised_greatblade, #ddffff
conquerer_helmet, #36040e
core_of_hatred, #e68991
crimson_boots, #37191f
crimson_chestplate, #3c1e23
crimson_dust, #440511
crimson_fathom, #2a0f0f
crimson_helmet, #4a0511
crimson_ingot, #402329
crimson_leggings, #3a0c15
crimson_nugget, #432228
crimson_tendon, #4a0411
critter_leg, #222222
crude_talisman, #540514
deaf_mans_music_icon, #510508
deer_advancement, #c6a837
divine_grace, #fffb40
empty_disk, #330a11
empty_upgrade_core, #1c1c1c
entry_point_icon, #bc6216
face_me_icon, #391f16
faith_icon, #29080b
fragment_of_divinity, #ffff55
frozen_essence, #94f4ff
fun_fact_o_meter, #755252
fusion_reagent, #b87952
grace, #ffff54
herald_icon, #2c0408
high_priestess_icon, #781f15
hungry_bleeding_thing_icon, #5a181f
i_hear_the_abyss_icon, #391114
immortal_effigy, #482900
incompatible_amalgamation, #ffcd40
lazurite_ingot, #55709a
liquid_aether, #e1faeb
mage_duel, #963939
needlade, #91d3ca
nooo_bobby_advancement, #eed46c
not_so_dauntless_icon, #4b433d
npc_talk, #9a7058
oldest_trick, #70583c
paradise, #ffdc36
pure_snow, #cadee4
redemption_icon, #3a7aaf
ritual_upgrade_smithing_template, #571f23
sanguine_dagger, #431b20
sanguine_effigy, #3e0c14
save_jacob_icon, #ae8e6f
snatcher_rose, #937032
speckled_fabric, #980b28
stage_1_icon, #791919
stage_2_icon, #931e1e
suntouched_vines, #ffe47a
surprise_icon, #4e2825
the_holy_trinity_icon, #250508
they_do_not_stop_crying_icon, #331516
troubled_boy_icon, #688a9a
upgrade_core_elegance, #892628
upgrade_core_frost, #39a2b8
upgrade_core_glory, #cdaa50
upgrade_core_identity, #6b52d0
upgrade_core_inferno, #bc5723
upgrade_core_plunder, #1e4152
upgrade_core_recast, #506f
upgrade_core_ruin, #878264
upgrade_core_soul_edge, #206461
upgrade_core_spirit, #185e7d
upgrade_core_vainglory, #6e2225
upgrade_core_war, #939366
use_amalgam, #65300c
use_divine_grace, #895012
wavering_flame, #c275b5
we_will_meet_again_icon, #694130
weapon_chrysalis, #5a9ee3
