// Compost colors for immersiveores. You may add your own colors, change existing ones, or remove colors that aren't needed.
enderium_axe, #51805f
enderium_boots, #578761
enderium_bow, #66a47d
enderium_chestplate, #6fa784
enderium_excavator, #73a182
enderium_hammer, #79ab87
enderium_helmet, #68a084
enderium_hoe, #4a7554
enderium_horse_armor, #aee49d
enderium_ingot, #79bf97
enderium_leggings, #619175
enderium_nugget, #6cb698
enderium_paxel, #649473
enderium_pickaxe, #5a8361
enderium_shovel, #54835e
enderium_stick, #57a093
enderium_sword, #528762
raw_enderium, #83cda8
raw_vibranium, #d6e0fa
raw_vulpus, #bb6273
vibranium_axe, #688494
vibranium_boots, #708d96
vibranium_bow, #8d98bf
vibranium_chestplate, #9bacc0
vibranium_excavator, #8c93b9
vibranium_hammer, #8a96bb
vibranium_helmet, #97a2c0
vibranium_hoe, #5e7a87
vibranium_horse_armor, #c6c0a8
vibranium_ingot, #c0d9e7
vibranium_leggings, #8496a8
vibranium_nugget, #abb2d4
vibranium_paxel, #8990b9
vibranium_pickaxe, #708a98
vibranium_shovel, #6c8996
vibranium_stick, #b4b4ff
vibranium_sword, #6b8a97
vulpus_axe, #7c3958
vulpus_boots, #823961
vulpus_bow, #a44e5c
vulpus_chestplate, #a04b61
vulpus_excavator, #a55b70
vulpus_hammer, #ae5c6f
vulpus_helmet, #9e4866
vulpus_hoe, #723a4e
vulpus_horse_armor, #fe9b64
vulpus_ingot, #bc6272
vulpus_leggings, #8d435f
vulpus_nugget, #9e516e
vulpus_paxel, #9b5162
vulpus_pickaxe, #7f4362
vulpus_shovel, #7f4062
vulpus_stick, #c63434
vulpus_sword, #803e65
